branch	sha
fix/phase7c-current-position-management-reason-ticket-isolation	4cecdd36e62e931673566aaca5e7223acc72ec97
fix/phase7c-current-pretrade-freshness	a44915b2e1842a09454bfc5eb7c4451291247bbe
fix/phase7c-daily-recovery-live-magic	3adb53e85608002c9dc1b78c0f66e7fb236a7232
fix/phase7c-daily-recovery-preview-actual-lot	94306aee38f88c5504b5f5f68c60a28c1e631305
fix/phase7c-daily-recovery-runtime-env-magic	c88b706751fd6e19b5fea3d8cb92b8fdb4af6f14
fix/phase7c-demo-migration-live-env-disabled	0cb3abe1092eb00ecf8a3524c198937124aafb20
fix/phase7c-deploy-gate-deduplicate	c5b9f69b285c84d7b93481bc0b7c0cb717d0cd08
fix/phase7c-deploy-gate-scope	9beb52f67faef809f4a996a8596fd1bb1f6c870f
fix/phase7c-entry-blocked-classification	c0dd19aedbb3cafb427eb08f489d2553aa5f5d91
fix/phase7c-executor-stop-grace-period	75967f7e33f63af8d23cf60d51bb38632b0b8b4f
fix/phase7c-executor-stopper-exitcode	b07c85f18dc88734ca29210bc987ff7f3339e682
fix/phase7c-expected-entry-blocked-display	98fdd4d0217f73b65567d7d5e1a116b705934158
fix/phase7c-fail-closed-runtime-recovery	101c3862b57798ffde10b241b56873bdce632ab5
fix/phase7c-fail-closed-runtime-recovery-pr	101c3862b57798ffde10b241b56873bdce632ab5
fix/phase7c-inspector-health-no-reconnect	6aaeada83bb8451e09d9b680e5f10b701e26c99a
fix/phase7c-legacy-background-cleanup	67c98fb9280be0d12baaa8b80d05ec72c26e0535
fix/phase7c-lifecycle-start-caller-boundary	180d5ba457264e9c88c004053634eca20d04f2ad
fix/phase7c-lifecycle-start-explicit-provenance	8e0c382f0a4a1b66991c95a353ffcc1c6302e880
fix/phase7c-lifecycle-start-explicit-provenance-v2	0bc78827eab3e8d933363a2fd72b38d00ca15241
fix/phase7c-lifecycle-status-consistency	588c0f74e1190072285718920dddea3acfa13329
fix/phase7c-live-adapter-crlf	aaeada9a8971259a1fca2408dce2bec6841f4f81
fix/phase7c-live-arm-ui-scope	be725ebcefe9b78ea0f62d8a35b89a2b3a1e7ec9
fix/phase7c-live-arm-verifier	bd41148f4c020928b8a64cf8b0bbe2374245e182
fix/phase7c-live-canonical-recovery-runtime-deploy	005bd408cb5652f80bda4841b7ac9cd21b54cd47
fix/phase7c-live-daily-recovery-telemetry	6ef611e4a03e736e895ee0dcc437a9792d7e55b0
fix/phase7c-live-magic-attribution-guard	5f3c86142553f7664c5421fe260de3ae291ead38
fix/phase7c-live-runtime-inspector-arm-v2	bbd3cf379f43ef8522242cce3ab29ce82e146361
fix/phase7c-live-switch-rollback-and-terminal-preflight	e60e7c89b2b0da7d092e15071633e5eb94833716
fix/phase7c-live-symbol-map-xauusdg	68792b6ac8068c42804a149e3eeef109f658e923
fix/phase7c-local-start-account-selection-boundary	2cee99d3cd1a4161933a8a05e925a3a5d554b901
fix/phase7c-local-start-live-auth-provenance-boundary	4ba535c2e729d8477ab10ed1734ccb0ee8a5f31a
fix/phase7c-lot-ui-canonical	fb94a33b5468934aab59dfe1db5d0945d06636ea
fix/phase7c-main-safe-deploy-checkpoint	6628c4b1eb73c50d342fbf7a0d7a2389638b7217
fix/phase7c-main-safe-web-deploy	062640ee70ee5f148557876a8689ce1fabaec9d0
fix/phase7c-managed-volume-safe-reconcile	830a070805988db4971a42bb2017676258f44eff
fix/phase7c-managed-volume-safe-reconcile-pr217	830a070805988db4971a42bb2017676258f44eff
fix/phase7c-mode-block-classification	9dd5909b43a336c3fa235cf2b4cf49abd216bcd3
fix/phase7c-mt5-contained-grid-ui	bb92d6994edc4cf5d9b3fe1431cce661774960f6
fix/phase7c-mt5-data-folder-detection	48525a6dbcec2879108aa5b10309ad8db35270a1
fix/phase7c-mt5-deal-history-broker-time-range	5afd2e062801a640fefff7076dda5f3a174e1e69
fix/phase7c-mt5-deal-history-canonical-symbol	e57783c58f637ed165bc5b733d69fbf4375024ad
fix/phase7c-mt5-dpi-metrics	84e111a1d3dbed01391dfa06a775de75230c3fdd
